what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676447963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676447979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676452564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676503869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676503947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676507213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676539381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676539459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676542205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676561830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676561892
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676565028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676580020
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676580114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676583140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676599988
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676600035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676602656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676621130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676621177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676632376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676649987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676650050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676653108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676667709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676667772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676670658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676688052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676688083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676690470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676703793
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676703855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676706225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676721063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676721109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676723839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676740757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676740819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676743820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676759919
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676759966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676763492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676780324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676780402
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676783288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676798456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676798503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676802111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676813885
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676813963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676816755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676832855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676832870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676835725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676847043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676847090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676849808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676857332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327676857347
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1327676861747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327676862059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677019263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327677274540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677280975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677294547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677294563
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1327677294765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677295982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327677295982
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.2,"org.tigris.subversion.clientadapter.javahl",1327677296216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677301926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677306294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327677306310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677311629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677313829
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1327677313845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327677313845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677317713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677321656
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1327677321671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327677321671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677329991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677467746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327677467762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677471834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677482074
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327677482089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677485604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327677999168
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327677999214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327678004722
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327678020275
